window_start,window_end,market_slug,open_price,close_price,token_ids
2026-06-23T13:30:00+00:00,2026-06-23T13:35:00+00:00,btc-updown-5m-1782221400,62045.38,,"[""58803092490696858283005901550981599136624069624735983679692935078874841547414"", ""58648514529183282694810772220416869481726669017275355420033385696493717424353""]"
2026-06-23T13:35:00+00:00,2026-06-23T13:40:00+00:00,btc-updown-5m-1782221700,62268.66,,"[""7603933686999757881344066961493907105900504922165393488159101773003777562578"", ""9559585510088561089573989442087245158257678897531280331576584675769384748434""]"
2026-06-23T13:40:00+00:00,2026-06-23T13:45:00+00:00,btc-updown-5m-1782222000,62327.02,,"[""14229009406752920226166117761481372796702841026403911576897184006913716410705"", ""29389042685551601632166353385709143159614883866387324859844308343769373390013""]"
2026-06-23T13:45:00+00:00,2026-06-23T13:50:00+00:00,btc-updown-5m-1782222300,62364.18,,"[""72730319476373555076394414345522909461778360494411756451674604857649429481894"", ""92964606231779093122281212546972310060860701144008530530728732986464849871061""]"
2026-06-23T13:50:00+00:00,2026-06-23T13:55:00+00:00,btc-updown-5m-1782222600,62398.23,,"[""87873825249932363136385645170113213955278908248877788152499266441186790898410"", ""101803570015199507274569665668925367127451495021477619920379638508754061763310""]"
2026-06-23T13:55:00+00:00,2026-06-23T14:00:00+00:00,btc-updown-5m-1782222900,62425.03,,"[""99634895868006087578557328152026598275146070887699457239732968080358312943431"", ""63208375010422173960926353281735289451699623072812921436552368627473744041515""]"
2026-06-23T14:00:00+00:00,2026-06-23T14:05:00+00:00,btc-updown-5m-1782223200,62472.58,,"[""69354352417645099938182596726607500037552129244150692956892998824420672582657"", ""24293236717083892648895156732130762688228723333212660546985066325160984406517""]"
2026-06-23T14:05:00+00:00,2026-06-23T14:10:00+00:00,btc-updown-5m-1782223500,62554.0,,"[""55874178872772088285668325746873401153991271662780297842432008509806515160459"", ""85640835976105382662109573033214966265003160491496388911796292174962288419594""]"
2026-06-23T14:10:00+00:00,2026-06-23T14:15:00+00:00,btc-updown-5m-1782223800,62562.0,,"[""25674935723618328427468387574088519021511326179318705008008043293135879517155"", ""40873410638503566291011568066470836134185478500166912630502761582815090214153""]"
2026-06-23T14:15:00+00:00,2026-06-23T14:20:00+00:00,btc-updown-5m-1782224100,62704.01,,"[""76845900356924985872399470311258890362531982763677320624518282972920094808149"", ""5017127165464927704433296707884236119529474258838472507987754768770073566874""]"
2026-06-23T14:20:00+00:00,2026-06-23T14:25:00+00:00,btc-updown-5m-1782224400,62812.0,,"[""58363818673270791161990494798408447647832407475456616065633702087940674338017"", ""109958343872840786930354447641401003278171031863972425424255226637501043435176""]"
2026-06-23T14:25:00+00:00,2026-06-23T14:30:00+00:00,btc-updown-5m-1782224700,62587.27,,"[""35473303750925969264786673716169300745060744045509927373038270044305638318180"", ""3738142111581370855050121058735979656255545577538931623958931648899197632218""]"
2026-06-23T14:30:00+00:00,2026-06-23T14:35:00+00:00,btc-updown-5m-1782225000,62578.0,,"[""71863253549236107654397448888845531856389030083580497151715261464788562931413"", ""79185178628225425310592333477549200601996296625801715687800583865116801723777""]"
2026-06-23T14:35:00+00:00,2026-06-23T14:40:00+00:00,btc-updown-5m-1782225300,62585.91,,"[""28182142006479547032693744258768392744097424334603134861050160446006341959450"", ""84221648731274628993885038918072830682580979568988458859452068437907167072070""]"
2026-06-23T14:40:00+00:00,2026-06-23T14:45:00+00:00,btc-updown-5m-1782225600,62578.0,,"[""43234298095075298294582568598079500893171795618803366660407935520841842639762"", ""94909696279778218496717463141049057751361175287513225562164094288555423517321""]"
2026-06-23T14:45:00+00:00,2026-06-23T14:50:00+00:00,btc-updown-5m-1782225900,62524.0,,"[""35662000026566522359798906551718427589614213510539119442867414013131463287050"", ""37210522934177664052128514654101466852858710230714841358520552200487419738171""]"
2026-06-23T14:50:00+00:00,2026-06-23T14:55:00+00:00,btc-updown-5m-1782226200,62567.99,,"[""103782103262615475696149435402503364023225193651536230012364184075706701469296"", ""5127616919716405661544153614179598486703142036200775174936085971188800615932""]"
2026-06-23T14:55:00+00:00,2026-06-23T15:00:00+00:00,btc-updown-5m-1782226500,62526.0,,"[""24119061304754940917601460886228442355962859265824905723193363972548038426892"", ""113563863131452319667497161263263380046692704087330839771111572248287505023296""]"
2026-06-23T15:00:00+00:00,2026-06-23T15:05:00+00:00,btc-updown-5m-1782226800,62470.69,,"[""56730196838555490832669786338450561149099801715619082693772507570816911268674"", ""111513233809453044343937874033529918256348817779752145835701552520469614003358""]"
2026-06-23T15:05:00+00:00,2026-06-23T15:10:00+00:00,btc-updown-5m-1782227100,,,"[""24259104650823300350813662551687241036587949315240572529091705552392658879807"", ""28183448973318405152500874557031147819882874981256552436489351304613782941378""]"
